Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",80.186000,-116.456000,0.000000,top
"C2","1uF","C_0603_1608Metric",83.786000,-104.356000,270.000000,top
"C3","100nF","C_0603_1608Metric",85.186000,-104.356000,270.000000,top
"C4","10uF","C_0603_1608Metric",80.186000,-111.756000,0.000000,top
"C6","100nF","C_0603_1608Metric",87.986000,-104.356000,270.000000,top
"C7","100nF","C_0603_1608Metric",86.386000,-127.956000,90.000000,top
"C8","22uF","C_0805_2012Metric",84.686000,-128.156000,90.000000,top
"C9","1uF","C_0603_1608Metric",80.186000,-113.656000,180.000000,top
"C10","10uF","C_0603_1608Metric",86.586000,-104.356000,270.000000,top
"C11","22uF","C_0805_2012Metric",76.986000,-113.456000,0.000000,top
"C13","18pF","C_0603_1608Metric",80.186000,-117.856000,0.000000,top
"C14","100nF","C_0603_1608Metric",77.186000,-115.156000,0.000000,top
"C15","10uF","C_0603_1608Metric",95.986000,-127.956000,90.000000,top
"C16","10uF","C_0805_2012Metric",82.086000,-104.556000,270.000000,top
"C17","10uF","C_0603_1608Metric",89.386000,-104.356000,270.000000,top
"C19","100nF","C_0603_1608Metric",89.986000,-93.956000,180.000000,top
"C20","18pF","C_0603_1608Metric",80.186000,-119.656000,180.000000,top
"C22","100nF","C_0603_1608Metric",115.586000,-89.556000,0.000000,top
"C23","100nF","C_0603_1608Metric",104.786000,-120.956000,0.000000,top
"C24","100nF","C_0603_1608Metric",103.898500,-89.556000,180.000000,top
"C25","100nF","C_0603_1608Metric",109.686000,-89.556000,180.000000,top
"C26","100nF","C_0603_1608Metric",114.386000,-108.056000,270.000000,top
"C27","100nF","C_0603_1608Metric",95.073500,-89.556000,0.000000,top
"C28","100nF","C_0603_1608Metric",106.786000,-89.556000,0.000000,top
"C29","100nF","C_0603_1608Metric",115.786000,-108.056000,270.000000,top
"C30","100nF","C_0603_1608Metric",112.586000,-89.556000,180.000000,top
"C31","10uF","C_0603_1608Metric",111.386000,-108.056000,270.000000,top
"C32","10uF","C_0603_1608Metric",112.886000,-108.056000,270.000000,top
"C33","100nF","C_0603_1608Metric",109.586000,-108.056000,90.000000,top
"C34","100nF","C_0603_1608Metric",106.786000,-108.056000,270.000000,top
"C35","22uF","C_0805_2012Metric",80.386000,-121.356000,180.000000,top
"C36","100nF","C_0603_1608Metric",77.186000,-111.756000,180.000000,top
"D1","SS14","D_SOD-123",78.686000,-109.956000,180.000000,top
"J5","USB_B_Micro","USB_Micro-Molex",74.593520,-124.654260,270.000000,top
"L1","22uH","Inductor-4x4",78.687460,-106.232700,270.000000,top
"R1","47K","R_0603_1608Metric",89.986000,-88.456000,0.000000,top
"R3","1K","R_0603_1608Metric",109.686000,-122.456000,180.000000,top
"R4","1K","R_0603_1608Metric",109.686000,-123.856000,180.000000,top
"R5","NC","R_0603_1608Metric",112.686000,-123.856000,0.000000,top
"R6","100K","R_0603_1608Metric",80.186000,-115.056000,0.000000,top
"R8","47K","R_0603_1608Metric",93.386000,-127.956000,90.000000,top
"R9","47K","R_0603_1608Metric",87.786000,-127.956000,90.000000,top
"R10","47K","R_0603_1608Metric",89.186000,-127.956000,90.000000,top
"R11","47K","R_0603_1608Metric",91.986000,-127.956000,90.000000,top
"R12","47K","R_0603_1608Metric",112.686000,-122.456000,180.000000,top
"R13","10K","R_0603_1608Metric",100.973500,-89.556000,0.000000,top
"R14","120R","R_0603_1608Metric",103.186000,-107.256000,0.000000,top
"R15","1K","R_0603_1608Metric",108.186000,-108.056000,90.000000,top
"R16","1K","R_0603_1608Metric",105.386000,-108.056000,270.000000,top
"U1","MCIMX233CAG4C","LQFP-128_14x14_Pitch0.4mm",93.673600,-116.001540,90.000000,top
"U2","MT46V32M16","TSSOP-66_400mil_P0.65mm",104.718440,-97.970980,180.000000,top
"U3","SR05","SOT-143",80.414620,-124.356420,90.000000,top
"X1","24MHz","Crystal_SMD_3225-4P_3.2x2.5mm",76.984760,-118.062660,270.000000,top
